msgID,autID,disID,theID,ts,inCir
0,0,0,4,2017-10-09 08:36:57,True
1,1,1,4,2017-07-21 07:00:58,True
2,2,2,4,2016-11-04 12:24:09,True
3,3,3,4,2016-03-29 12:46:26,True
4,4,4,4,2017-07-21 06:28:47,True
5,5,5,4,2016-11-29 20:57:59,True
6,6,6,4,2017-10-09 08:27:04,True
7,7,7,4,2017-07-21 07:25:22,True
8,8,8,4,2016-03-20 17:48:54,True
9,9,9,4,2017-07-31 13:35:04,True
10,10,10,4,2016-08-05 11:14:11,True
11,11,11,4,2016-12-14 00:38:34,True
12,12,12,4,2016-05-31 13:20:05,True
13,13,13,4,2017-07-21 04:07:09,True
14,14,14,4,2016-11-04 22:51:06,True
15,15,14,4,2016-11-04 19:05:44,True
16,10,15,4,2016-07-30 17:02:41,True
17,16,16,4,2016-08-24 10:32:37,True
18,17,17,4,2017-07-21 06:25:37,True
19,18,18,4,2018-09-04 21:26:58,True
20,19,19,4,2016-05-18 11:55:23,True
21,20,20,4,2016-07-14 19:04:11,True
22,0,21,4,2017-12-04 08:09:44,True
23,21,22,4,2016-12-05 17:17:25,True
24,22,23,4,2016-12-13 05:40:16,True
25,23,24,4,2017-07-21 02:54:44,True
26,24,25,4,2017-07-21 06:14:27,True
27,25,26,4,2016-08-14 19:47:12,True
28,26,27,4,2016-08-16 13:31:26,True
29,27,28,4,2017-06-19 16:41:22,True
30,28,29,4,2017-05-07 13:16:45,True
31,2,30,4,2016-11-24 08:16:01,True
32,29,31,4,2016-11-04 17:20:45,True
33,30,32,4,2016-12-19 09:28:04,True
34,31,33,4,2017-10-18 01:21:39,True
35,32,34,4,2016-12-13 00:58:34,True
36,33,31,4,2016-11-02 08:19:23,True
37,34,29,4,2016-04-23 19:43:00,True
38,35,35,4,2016-03-26 00:42:55,True
39,4,14,4,2016-11-02 16:09:54,True
40,36,36,4,2016-12-09 00:21:26,True
41,37,37,4,2016-12-08 22:24:47,True
42,2,38,4,2016-11-24 08:28:10,True
43,10,39,4,2017-07-21 05:04:47,True
44,38,40,4,2017-11-08 09:55:14,True
45,39,41,4,2017-04-07 09:59:38,True
46,40,42,4,2016-06-13 12:46:04,True
47,27,43,4,2017-06-19 16:38:08,True
48,41,44,4,2018-11-09 00:00:03,True
49,42,45,4,2017-08-06 05:39:04,True
50,43,46,4,2017-07-21 04:22:33,True
51,44,37,4,2016-12-08 14:41:23,True
52,45,47,4,2017-07-21 05:23:46,True
53,21,48,4,2016-12-05 17:24:18,True
54,30,49,4,2017-07-21 06:31:25,True
55,46,50,4,2017-12-04 08:26:06,True
56,13,42,4,2016-06-13 16:36:56,True
57,47,51,4,2018-06-17 16:05:16,True
58,13,52,4,2016-06-15 02:34:03,True
59,25,53,4,2016-09-08 12:47:58,True
60,48,54,4,2017-07-21 04:20:58,True
61,49,55,4,2017-07-21 03:58:35,True
62,50,18,4,2018-05-22 08:58:18,True
63,51,5,4,2016-12-24 08:15:34,True
64,52,56,4,2016-12-14 11:43:36,True
65,53,23,4,2016-12-11 03:45:58,True
66,54,57,4,2017-07-21 06:38:14,True
67,30,58,4,2016-12-04 20:37:33,True
68,55,12,4,2016-05-31 13:26:07,True
69,56,16,4,2016-08-12 13:50:16,True
70,57,36,4,2016-12-01 20:19:48,True
71,58,59,4,2017-10-05 16:19:26,True
72,59,42,4,2016-06-13 16:40:21,True
73,60,5,4,2016-11-29 06:15:53,True
74,10,60,4,2016-08-29 16:35:01,True
75,28,29,4,2017-05-07 10:37:54,True
76,61,61,4,2017-07-21 04:46:21,True
77,16,62,4,2017-07-21 05:05:32,True
78,62,16,4,2016-08-10 14:42:29,True
79,30,36,4,2016-12-01 22:02:56,True
80,63,8,4,2016-03-26 12:42:53,True
81,64,63,4,2016-06-13 12:11:43,True
82,65,14,4,2016-11-21 07:34:57,True
83,28,29,4,2017-05-07 13:07:25,True
84,66,5,4,2016-12-01 08:31:51,True
85,67,53,4,2016-09-12 06:52:16,True
86,68,64,4,2017-10-25 04:41:53,True
87,8,65,4,2017-07-21 02:33:55,True
88,69,35,4,2016-03-21 22:47:41,True
89,70,36,4,2016-12-01 10:05:13,True
90,71,14,4,2016-11-07 14:05:10,True
91,72,16,4,2016-08-11 18:16:01,True
92,73,58,4,2016-12-04 08:40:47,True
93,74,66,4,2016-10-09 01:44:11,True
94,75,67,4,2017-01-28 16:46:14,True
95,50,68,4,2018-05-22 08:42:15,True
96,0,69,4,2018-05-09 08:08:01,True
97,32,34,4,2016-12-13 00:58:33,True
98,76,70,4,2018-04-30 10:22:48,True
99,77,71,4,2017-10-03 00:37:16,True
100,78,42,4,2016-06-17 15:50:56,True
101,79,72,4,2017-07-21 04:21:07,True
102,80,73,4,2016-10-04 18:21:59,True
103,35,74,4,2016-03-26 05:02:28,True
104,81,75,4,2016-12-15 09:02:38,True
105,82,76,4,2017-07-21 03:36:46,True
106,83,77,4,2016-07-15 19:22:08,True
107,84,78,4,2017-07-21 04:22:18,True
108,0,79,4,2017-12-04 08:30:36,True
109,85,80,4,2017-01-02 03:23:57,True
110,86,81,4,2017-12-08 07:09:51,True
111,87,82,4,2017-07-21 03:17:57,True
112,30,83,4,2016-12-06 16:30:38,True
113,88,84,4,2018-01-07 03:01:18,True
114,53,37,4,2016-12-11 03:33:27,True
115,89,85,4,2017-12-04 08:43:18,True
116,74,86,4,2016-10-16 21:47:49,True
117,50,87,4,2018-05-22 08:44:54,True
118,90,88,4,2017-07-21 07:01:49,True
119,65,14,4,2016-11-21 07:34:59,True
120,91,89,4,2016-12-02 13:22:47,True
121,92,67,4,2017-01-30 18:47:25,True
122,24,90,4,2017-07-21 06:14:27,True
123,93,89,4,2016-12-10 18:03:36,True
124,94,80,4,2016-12-26 23:00:17,True
125,8,91,4,2016-03-03 00:57:57,True
126,95,92,4,2016-10-05 13:26:47,True
127,70,93,4,2017-01-08 19:06:51,True
128,46,94,4,2017-12-04 08:19:38,True
129,96,95,4,2017-12-04 08:27:32,True
130,0,96,4,2018-05-09 08:03:02,True
131,82,97,4,2016-05-02 12:18:38,True
132,46,50,4,2017-12-04 08:49:37,True
133,97,98,4,2017-07-21 06:25:53,True
134,0,6,4,2017-10-09 08:34:41,True
135,98,16,4,2016-08-12 11:15:29,True
136,99,12,4,2016-06-18 01:03:36,True
137,26,16,4,2016-08-16 13:15:42,True
138,55,12,4,2016-05-28 19:09:00,True
139,88,99,4,2018-01-07 02:48:29,True
140,100,56,4,2016-12-14 09:55:13,True
141,26,27,4,2016-08-17 15:26:54,True
142,50,100,4,2018-05-22 08:52:11,True
143,101,101,4,2018-06-11 18:21:53,True
144,16,16,4,2016-08-11 08:16:42,True
145,81,30,4,2016-11-24 14:20:29,True
146,102,102,4,2017-10-16 20:40:06,True
147,103,103,4,2018-09-08 14:05:55,True
148,13,104,4,2016-06-26 05:00:49,True
149,44,22,4,2016-12-08 09:36:55,True
150,104,105,4,2018-07-12 10:15:22,True
151,105,34,4,2016-12-04 11:15:49,True
152,106,106,4,2016-07-24 13:24:36,True
153,107,42,4,2016-06-19 00:12:29,True
154,82,107,4,2016-04-24 07:17:53,True
155,108,36,4,2016-12-18 19:27:57,True
156,109,108,4,2018-10-31 09:51:05,True
157,110,109,4,2017-06-12 21:35:20,True
158,70,70,4,2016-12-18 10:44:10,True
159,82,29,4,2016-04-25 08:53:53,True
160,46,110,4,2017-12-04 07:58:38,True
161,111,111,4,2016-10-10 02:31:00,True
162,112,42,4,2016-06-17 16:24:40,True
163,113,112,4,2017-07-21 03:21:16,True
